7001,2,4,9,10,20,26,14
7002,5,6,14,20,21,22,1
7003,5,9,11,12,22,27,15
7004,3,7,10,13,25,33,10
7005,1,5,6,16,24,30,12
7006,6,10,14,22,26,27,11
7007,4,12,15,17,22,32,14
7008,1,4,5,18,19,25,10
7009,2,4,14,15,25,27,15
7010,3,8,14,17,30,32,5
7011,3,10,15,25,28,33,16
7012,3,5,7,21,26,28,4
7013,5,15,18,27,29,32,5
7014,1,13,16,20,24,26,9
7015,3,4,8,18,22,30,15
7016,1,18,20,22,26,33,5
7017,5,9,10,24,25,32,14
7018,1,12,18,20,21,26,11
7019,4,11,16,23,29,31,14
7020,5,10,16,20,28,31,14
7021,3,6,9,11,25,31,13
7022,2,4,7,10,18,27,10
7023,3,7,13,17,32,33,2
7024,8,9,17,25,27,32,6
7025,3,16,18,22,23,26,3
7026,1,4,14,16,26,29,10
7027,2,3,9,22,24,27,11
7028,3,8,13,20,29,30,11
7029,6,8,9,11,19,21,10
7030,3,16,21,22,27,30,4
7031,4,6,10,12,19,31,1
7032,4,8,16,24,30,32,16
7033,3,4,11,17,18,28,9
7034,2,9,12,14,23,25,16
7035,1,4,8,12,29,31,6
7036,3,14,21,23,30,31,10
7037,10,11,16,23,31,33,16
7038,3,11,14,19,21,30,5
7039,6,7,19,24,27,29,1
7040,13,14,15,19,24,30,10
7041,1,3,9,11,26,31,12
7042,3,13,16,19,32,33,8
7043,3,8,10,11,14,30,5
7044,9,13,20,21,24,32,8
7045,1,12,18,21,28,30,10
7046,2,6,7,9,19,26,14
7047,2,4,16,18,23,30,6
7048,2,11,12,15,17,28,12
7049,4,14,18,19,31,33,2
7050,1,5,8,13,18,25,2
7051,3,14,16,26,27,33,13
7052,2,3,7,8,26,29,7
7053,10,13,16,17,18,27,11
7054,1,3,16,18,23,28,5
7055,2,6,11,22,28,29,2
7056,14,17,21,29,31,32,12
7057,5,11,18,19,20,21,9
7058,7,8,10,13,25,27,7
7059,1,3,4,6,7,29,14
7060,1,2,8,16,19,29,5
7061,1,6,7,11,20,23,5
7062,8,17,20,29,30,33,9
7063,10,15,17,24,26,28,12
7064,2,6,9,16,21,23,16
7065,4,7,19,21,25,31,7
7066,5,11,16,24,32,33,8
7067,6,11,13,17,21,23,11
7068,11,18,19,22,23,28,1
7069,3,4,11,12,14,32,12
7070,6,8,15,17,18,30,12
7071,1,6,14,21,30,31,9
7072,2,4,8,13,14,33,16
7073,5,9,11,19,28,31,2
7074,8,13,15,25,27,28,3
7075,13,16,17,22,30,32,3
7076,6,12,15,16,20,31,2
7077,6,8,14,21,28,29,2
7078,4,6,7,23,25,32,1
7079,3,4,14,20,21,25,14
7080,1,8,16,18,19,29,4
7081,9,14,15,19,24,33,13
7082,5,15,17,18,25,32,15
7083,11,14,18,20,21,26,5
7084,6,10,12,14,20,27,10
7085,2,12,17,19,29,30,12
7086,5,8,14,22,27,29,16
7087,1,3,4,5,8,21,9
7088,2,4,10,28,29,33,6
7089,3,7,8,15,19,28,3
7090,5,11,13,27,30,31,2
7091,2,11,17,30,31,32,7
7092,14,18,22,23,24,33,9
7093,5,10,13,15,19,29,2
7094,3,5,18,19,24,32,2
7095,1,6,8,18,29,32,7
7096,9,10,20,22,30,32,8
7097,4,8,13,18,26,30,11
7098,2,3,5,11,19,20,12
7099,3,4,14,27,31,33,5
7100,8,18,27,29,30,32,6
7101,15,16,18,21,22,30,14
7102,4,6,8,18,20,33,11
7103,7,9,25,27,30,32,1
7104,2,8,12,14,20,32,4
7105,2,7,10,17,23,29,14
7106,12,18,21,24,25,29,8
7107,2,8,9,18,24,28,10
7108,3,7,12,13,20,33,2
7109,1,4,7,8,13,14,4
7110,2,4,7,15,24,28,3
7111,2,9,10,12,13,17,11
7112,7,11,14,16,25,32,11
7113,4,18,23,25,26,31,10
7114,5,12,15,24,27,33,5
7115,1,5,10,16,20,26,2
7116,3,5,7,11,17,27,13
7117,3,7,9,10,26,32,1
7118,4,10,16,18,25,32,15
7119,3,8,11,13,25,31,12
7120,6,7,11,12,18,25,1
7121,3,10,21,22,27,28,6
7122,4,7,19,24,26,32,9
7123,1,13,15,23,28,32,2
7124,3,7,13,16,19,32,16
7125,3,5,18,20,27,33,1
7126,9,10,19,23,26,31,9
7127,6,9,13,16,24,28,11
7128,9,10,19,21,27,31,5
7129,5,7,20,21,22,30,8
7130,3,5,9,11,27,31,4
7131,3,5,7,16,22,27,5
7132,1,9,16,21,22,23,5
7133,3,6,7,11,13,33,10
7134,1,4,10,13,18,25,15
7135,1,11,16,26,31,33,16
7136,1,2,18,21,25,29,14
7137,3,7,8,18,20,22,3
7138,2,3,15,17,19,25,16
7139,6,10,12,14,16,22,6
7140,1,5,16,21,22,26,11
7141,2,3,4,6,17,31,8
7142,11,20,25,26,27,30,8
7143,1,6,22,23,24,26,4
7144,8,14,23,25,28,32,16
7145,8,9,11,12,25,31,11
7146,4,18,22,24,26,30,9
7147,3,7,18,24,26,27,4
7148,3,9,16,17,23,28,7
7149,1,17,19,22,28,30,3
7150,3,5,11,13,19,24,5
7151,1,6,10,11,23,25,2
7152,11,17,21,29,30,33,8
7153,1,4,19,20,25,31,15
8001,2,4,7,9,14,29,3
8002,3,4,18,22,25,29,9
8003,6,8,11,13,17,19,12
8004,4,8,22,23,27,29,8
8005,3,5,15,22,24,25,15
8006,1,14,16,18,22,27,14
8007,1,13,17,22,23,30,11
8008,2,15,16,23,26,27,7
8009,9,21,29,30,31,32,16
8010,3,8,11,17,21,27,9
8011,2,14,17,21,30,32,3
8012,3,4,5,16,20,30,13
8013,2,8,15,16,22,28,10
8014,3,9,11,17,21,31,14
8015,6,8,11,16,29,33,3
8016,3,12,14,21,29,33,13
8017,2,5,7,17,20,22,2
8018,2,5,6,23,26,33,13
8019,2,9,11,17,27,31,5
8020,3,10,13,15,28,30,3
8021,9,12,19,20,26,28,15
8022,12,18,20,24,28,32,5
8023,8,16,18,25,26,32,2
8024,11,20,21,26,28,30,13
8025,8,16,17,18,19,21,14
8026,5,17,19,27,29,32,3
8027,15,18,19,23,24,26,13
8028,1,13,21,26,29,32,10
8029,1,9,14,22,29,32,12
8030,6,15,18,19,20,28,11
8031,3,6,11,15,21,31,13
8032,5,14,16,21,23,28,13
8033,12,17,18,30,31,33,4
8034,3,5,9,11,21,29,9
8035,7,11,14,17,18,29,16
8036,2,6,13,18,23,28,16
8037,1,12,22,24,28,31,6
8038,3,9,10,11,15,19,13
8039,1,7,10,13,22,29,1
8040,6,13,22,25,27,28,9
8041,8,11,20,22,23,27,4
8042,3,4,9,11,12,24,1
8043,3,10,16,22,27,33,14
8044,5,7,9,20,26,29,9
8045,1,10,13,21,29,32,4
8046,15,16,18,24,28,33,15
8047,9,12,13,14,20,22,10
8048,11,18,21,27,30,32,1
8049,3,10,12,13,19,25,4
8050,1,11,19,24,26,27,3
8051,1,4,8,10,13,33,11
8052,2,10,17,23,29,31,10
8053,6,12,19,20,21,27,4
8054,2,6,16,17,20,25,7
8055,11,16,19,23,26,31,4
8056,8,13,22,23,25,30,7
8057,19,20,21,26,28,30,8
8058,1,12,21,27,29,31,11
8059,2,6,15,29,31,32,16
8060,6,7,8,17,30,32,3
8061,1,2,5,12,26,31,6
8062,6,8,13,17,24,27,15
8063,5,9,11,14,16,17,15
8064,1,2,7,9,12,18,12
8065,5,13,15,19,30,31,5
8066,7,12,21,22,29,30,8
8067,10,11,15,19,26,33,13
8068,5,7,17,23,27,29,7
8069,5,8,17,20,26,30,10
8070,5,6,12,15,18,33,13
8071,1,6,21,26,27,28,9
8072,1,5,10,18,22,30,9
8073,1,9,13,22,28,33,8
8074,1,11,15,19,20,24,9
8075,1,8,14,18,22,30,3
8076,2,5,7,11,13,18,11
8077,4,12,22,26,30,33,9
8078,6,13,16,26,30,33,1
8079,3,4,5,10,20,32,9
8080,4,14,22,25,29,32,14
8081,2,12,13,18,25,31,4
8082,4,8,10,12,21,26,9
8083,7,8,9,18,29,32,9
8084,4,7,13,20,29,30,16
8085,1,4,12,20,24,29,15
8086,4,5,10,26,27,30,12
8087,1,7,26,29,30,31,6
8088,1,6,8,16,17,23,5
8089,3,6,11,16,22,27,11
8090,2,7,14,18,19,24,1
8091,3,12,14,23,31,32,10
8092,1,3,18,27,28,30,5
8093,4,10,12,16,26,28,7
8094,1,4,15,16,23,28,14
8095,3,8,14,21,28,29,3
8096,6,8,12,24,27,31,14
8097,3,6,8,9,16,17,13
8098,6,7,10,11,15,30,1
8099,10,15,16,22,23,24,7
8100,8,14,17,21,27,28,14
8101,9,17,21,26,28,30,4
8102,3,7,12,21,25,32,5
8103,1,12,16,18,22,33,4
8104,3,6,8,17,24,31,1
8105,5,17,19,27,28,32,2
8106,14,19,25,27,29,30,15
8107,6,13,18,22,27,32,4
8108,9,10,15,17,23,30,12
8109,4,7,9,16,21,28,10
8110,10,16,22,23,29,31,2
8111,17,18,21,25,31,32,6
8112,5,13,14,19,22,23,6
8113,6,9,10,12,17,22,9
8114,4,9,20,24,25,31,14
8115,2,12,13,14,17,18,6
